Revenue Center,Item Qty,Net Sales,Discount Amount,Gross Sales,Tax Amount,date
Long Trail Blackberry DFT,8,64.0,0.0,64.0,0.0,2023-05-24
Cracker Jacks,2,10.0,0.0,10.0,0.0,2023-05-24
14th Star Mexican Lager DFT,15,120.0,0.0,120.0,0.0,2023-05-24
Good Measure Cream Ale DFT,21,126.0,0.0,126.0,0.0,2023-05-24
Peanuts,5,20.0,0.0,20.0,0.0,2023-05-24
Budweiser DFT,20,120.0,0.0,120.0,0.0,2023-05-24
Stella Can,9,72.0,0.0,72.0,0.0,2023-05-24
Barefoot Cabernet Sauvignon,7,56.0,0.0,56.0,0.0,2023-05-24
Rescue Club IPA N/A,2,16.0,0.0,16.0,0.0,2023-05-24
Fiddlehead IPA DFT,102,816.0,0.0,816.0,0.0,2023-05-24
Barefoot Chardonnay,5,40.0,0.0,40.0,0.0,2023-05-24
Bud Light DFT,44,264.0,0.0,264.0,0.0,2023-05-24
White Claw Mango,1,8.0,0.0,8.0,0.0,2023-05-24
Long Trail Ale DFT,10,80.0,0.0,80.0,0.0,2023-05-24
Citizen Cider DFT,24,192.0,0.0,192.0,0.0,2023-05-24
"Footlong ""Monster"" Dog",83,411.76,0.0,411.76,45.74,2023-05-24
Double Cheeseburger,23,261.7,0.0,261.7,28.8,2023-05-24
Italian Sausage w/ Peppers & Onions,30,216.3,0.0,216.3,23.7,2023-05-24
Movie Candy,25,90.25,0.0,90.25,9.75,2023-05-24
Veggie Burger,15,94.95,0.0,94.95,10.55,2023-05-24
Season Ticket Holder Soda,35,31.5,0.0,31.5,3.5,2023-05-24
Peanuts,12,43.32,0.0,43.32,4.68,2023-05-24
Hot Dog,184,610.11,11.81,621.92,66.75,2023-05-24
Cheeseburger,54,389.79,3.6,393.39,42.71,2023-05-24
Hot Coffee,38,102.98,0.0,102.98,11.02,2023-05-24
Bottled Water,42,94.92,0.0,94.92,10.08,2023-05-24
Cracker Jacks,9,38.34,2.25,40.59,4.16,2023-05-24
Bottled Soda,65,205.38,0.0,205.38,22.12,2023-05-24
Barefoot Pinot Grigio,2,16.0,0.0,16.0,0.0,2023-05-24
ZG Lake Monster Light DFT,97,582.0,0.0,582.0,0.0,2023-05-24
Kona Golden Ale DFT,14,84.0,0.0,84.0,0.0,2023-05-24
Champ Logo Hoodie- Graphite Heather- M,1,49.99,0.0,49.99,0.0,2023-05-24
All-Star Tee- L,1,27.99,0.0,27.99,0.0,2023-05-24
Nike Franchise Polo- Royal- L,1,59.99,0.0,59.99,0.0,2023-05-24
Varsity Sherpa- XL,1,84.99,0.0,84.99,0.0,2023-05-24
Fleece Snap Pullover- L,1,79.99,0.0,79.99,0.0,2023-05-24
Adult Maple Kings Hoodie- XXL,1,44.99,0.0,44.99,0.0,2023-05-24
VT State Patch,1,4.0,0.0,4.0,0.44,2023-05-24
Primary Logo Tee- Gray- M,1,25.99,0.0,25.99,0.0,2023-05-24
Champ Logo Hoodie- Royal-3XL,1,49.99,0.0,49.99,0.0,2023-05-24
Original Clean-Up,3,86.97,0.0,86.97,0.0,2023-05-24
802vtrucker cap,1,24.99,0.0,24.99,0.0,2023-05-24
Large Champ Logo Stretch Fit Cap- Navy- S,1,29.99,0.0,29.99,0.0,2023-05-24
New Era Youth Maple Kings Classic Cap,1,18.99,0.0,18.99,0.0,2023-05-24
VLM Home Onfield Stretch Fit Cap- S,2,59.98,0.0,59.98,0.0,2023-05-24
Maple Kings Youth Bolt Snapback,1,18.99,0.0,18.99,0.0,2023-05-24
Champ Logo Hoodie- Royal-M,2,99.98,0.0,99.98,0.0,2023-05-24
VT Expos Trucker- Royal,1,24.99,0.0,24.99,0.0,2023-05-24
All-Star Tee- XL,1,27.99,0.0,27.99,0.0,2023-05-24
Hot Dog Tee- Vintage Navy- XXL,1,25.99,0.0,25.99,0.0,2023-05-24
3/4 Raglan Expos Tee- Gray/Navy- L,1,26.99,0.0,26.99,0.0,2023-05-24
14th Star Baseline,32,256.0,0.0,256.0,0.0,2023-05-24
ZG Conehead IPA DFT,45,360.0,0.0,360.0,0.0,2023-05-24
Nutrl Watermelon Vodka,5,50.0,0.0,50.0,0.0,2023-05-24
Bottled Water,5,12.5,0.0,12.5,0.0,2023-05-24
